ano,uf,regiao,causa_acidente,faixa_horario,total_acidentes,total_graves_fatais,total_mortos,total_feridos_graves,total_vitimas,taxa_gravidade
2022,AC,Norte,Acessar a via sem observar a presença dos outros veículos,Madrugada,1,0,0,0,1,0.0
2022,AC,Norte,Acessar a via sem observar a presença dos outros veículos,Manhã,14,4,1,3,19,0.285714
2022,AC,Norte,Acessar a via sem observar a presença dos outros veículos,Noite,4,2,0,2,5,0.5
2022,AC,Norte,Acessar a via sem observar a presença dos outros veículos,Tarde,16,4,1,3,18,0.25
2022,AC,Norte,Acesso irregular,Manhã,3,2,0,2,4,0.666667
2022,AC,Norte,Acesso irregular,Noite,1,1,0,1,2,1.0
2022,AC,Norte,Acesso irregular,Tarde,1,0,0,0,1,0.0
2022,AC,Norte,Acostamento em desnível,Manhã,1,1,0,2,3,1.0
2022,AC,Norte,Acumulo de areia ou detritos sobre o pavimento,Noite,1,0,0,0,1,0.0
2022,AC,Norte,Acumulo de água sobre o pavimento,Noite,1,0,0,0,4,0.0
2022,AC,Norte,Afundamento ou ondulação no pavimento,Manhã,1,0,0,0,0,0.0
2022,AC,Norte,Afundamento ou ondulação no pavimento,Noite,1,0,0,0,0,0.0
2022,AC,Norte,Animais na Pista,Madrugada,3,0,0,0,2,0.0
2022,AC,Norte,Animais na Pista,Manhã,1,1,0,1,2,1.0
2022,AC,Norte,Animais na Pista,Noite,3,1,0,1,5,0.333333
2022,AC,Norte,Animais na Pista,Tarde,3,1,0,1,4,0.333333
2022,AC,Norte,Ausência de reação do condutor,Madrugada,5,2,2,0,5,0.4
2022,AC,Norte,Ausência de reação do condutor,Manhã,3,0,0,0,6,0.0
2022,AC,Norte,Ausência de reação do condutor,Noite,7,4,1,3,8,0.571429
2022,AC,Norte,Ausência de reação do condutor,Tarde,7,1,0,1,6,0.142857
2022,AC,Norte,Ausência de sinalização,Noite,2,0,0,0,1,0.0
2022,AC,Norte,Avarias e/ou desgaste excessivo no pneu,Tarde,1,0,0,0,2,0.0
2022,AC,Norte,Chuva,Noite,1,0,0,0,1,0.0
2022,AC,Norte,Condutor Dormindo,Manhã,1,0,0,0,1,0.0
2022,AC,Norte,Condutor Dormindo,Tarde,2,1,0,1,3,0.5
2022,AC,Norte,Condutor deixou de manter distância do veículo da frente,Manhã,3,1,0,1,2,0.333333
2022,AC,Norte,Condutor deixou de manter distância do veículo da frente,Noite,4,1,0,1,4,0.25
2022,AC,Norte,Condutor deixou de manter distância do veículo da frente,Tarde,9,0,0,0,13,0.0
2022,AC,Norte,Conversão proibida,Manhã,1,1,0,1,1,1.0
2022,AC,Norte,Conversão proibida,Noite,1,1,0,2,4,1.0
2022,AC,Norte,Conversão proibida,Tarde,1,0,0,0,4,0.0
2022,AC,Norte,Curva acentuada,Manhã,1,1,0,1,2,1.0
2022,AC,Norte,Deficiência do Sistema de Iluminação/Sinalização,Noite,1,1,1,1,2,1.0
2022,AC,Norte,Deficiência do Sistema de Iluminação/Sinalização,Tarde,1,1,0,2,2,1.0
2022,AC,Norte,Demais falhas mecânicas ou elétricas,Noite,1,0,0,0,1,0.0
2022,AC,Norte,Demais falhas mecânicas ou elétricas,Tarde,2,0,0,0,2,0.0
2022,AC,Norte,Demais falhas na via,Noite,1,1,0,1,1,1.0
2022,AC,Norte,Demais falhas na via,Tarde,3,1,0,1,2,0.333333
2022,AC,Norte,Desrespeitar a preferência no cruzamento,Manhã,3,0,0,0,3,0.0
2022,AC,Norte,Desrespeitar a preferência no cruzamento,Noite,3,1,0,1,4,0.333333
2022,AC,Norte,Desrespeitar a preferência no cruzamento,Tarde,2,1,0,1,1,0.5
2022,AC,Norte,Entrada inopinada do pedestre,Noite,2,2,1,1,2,1.0
2022,AC,Norte,Faróis desregulados,Noite,1,0,0,0,2,0.0
2022,AC,Norte,Frear bruscamente,Manhã,1,0,0,0,1,0.0
2022,AC,Norte,Frear bruscamente,Tarde,1,1,0,1,1,1.0
2022,AC,Norte,Iluminação deficiente,Tarde,1,1,0,1,3,1.0
2022,AC,Norte,Ingestão de substâncias psicoativas pelo condutor,Tarde,1,0,0,0,0,0.0
2022,AC,Norte,Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,Tarde,1,1,0,3,4,1.0
2022,AC,Norte,Ingestão de álcool pelo condutor,Madrugada,2,1,0,4,5,0.5
2022,AC,Norte,Ingestão de álcool pelo condutor,Noite,5,1,0,1,2,0.2
2022,AC,Norte,Ingestão de álcool pelo condutor,Tarde,2,1,0,3,4,0.5
2022,AC,Norte,Mal súbito do condutor,Noite,1,0,0,0,1,0.0
2022,AC,Norte,Manobra de mudança de faixa,Madrugada,1,0,0,0,0,0.0
2022,AC,Norte,Manobra de mudança de faixa,Manhã,2,0,0,0,3,0.0
2022,AC,Norte,Manobra de mudança de faixa,Noite,3,1,0,1,2,0.333333
2022,AC,Norte,Manobra de mudança de faixa,Tarde,4,4,0,11,15,1.0
2022,AC,Norte,Objeto estático sobre o leito carroçável,Tarde,1,0,0,0,1,0.0
2022,AC,Norte,Obras na pista,Noite,1,0,0,0,2,0.0
2022,AC,Norte,Obras na pista,Tarde,1,0,0,0,2,0.0
2022,AC,Norte,Obstrução na via,Madrugada,1,1,0,1,3,1.0
2022,AC,Norte,Pedestre andava na pista,Noite,3,3,1,3,4,1.0
2022,AC,Norte,Pedestre cruzava a pista fora da faixa,Tarde,1,0,0,0,1,0.0
2022,AC,Norte,Pista Escorregadia,Manhã,1,0,0,0,2,0.0
2022,AC,Norte,Pista esburacada,Manhã,3,0,0,0,3,0.0
2022,AC,Norte,Pista esburacada,Noite,3,1,0,1,4,0.333333
2022,AC,Norte,Pista esburacada,Tarde,7,2,0,3,7,0.285714
2022,AC,Norte,Problema com o freio,Tarde,1,0,0,0,1,0.0
2022,AC,Norte,Reação tardia ou ineficiente do condutor,Madrugada,3,2,0,2,2,0.666667
2022,AC,Norte,Reação tardia ou ineficiente do condutor,Manhã,9,3,0,3,12,0.333333
2022,AC,Norte,Reação tardia ou ineficiente do condutor,Noite,9,4,1,4,14,0.444444
2022,AC,Norte,Reação tardia ou ineficiente do condutor,Tarde,8,1,0,2,10,0.125
2022,AC,Norte,Retorno proibido,Manhã,1,1,1,1,2,1.0
2022,AC,Norte,Retorno proibido,Noite,1,0,0,0,1,0.0
