data,ano,mes_numero,dia_semana,dia_semana_numero,fim_semana,uf,regiao,total_acidentes,total_graves_fatais,total_mortos,total_feridos_graves,total_vitimas,taxa_gravidade
2022-01-01,2022,1,sábado,6,True,AL,Nordeste,1,1,0,2,2,1.0
2022-01-01,2022,1,sábado,6,True,AM,Norte,1,0,0,0,2,0.0
2022-01-01,2022,1,sábado,6,True,AP,Norte,1,0,0,0,1,0.0
2022-01-01,2022,1,sábado,6,True,BA,Nordeste,8,3,2,1,12,0.375
2022-01-01,2022,1,sábado,6,True,CE,Nordeste,7,6,5,5,13,0.857143
2022-01-01,2022,1,sábado,6,True,DF,Centro-Oeste,3,1,1,0,6,0.333333
2022-01-01,2022,1,sábado,6,True,ES,Sudeste,2,1,0,1,3,0.5
2022-01-01,2022,1,sábado,6,True,GO,Centro-Oeste,7,0,0,0,7,0.0
2022-01-01,2022,1,sábado,6,True,MA,Nordeste,5,1,0,1,3,0.2
2022-01-01,2022,1,sábado,6,True,MG,Sudeste,18,7,4,8,21,0.388889
2022-01-01,2022,1,sábado,6,True,MS,Centro-Oeste,4,1,0,1,4,0.25
2022-01-01,2022,1,sábado,6,True,MT,Centro-Oeste,9,1,0,1,11,0.111111
2022-01-01,2022,1,sábado,6,True,PA,Norte,1,1,1,0,1,1.0
2022-01-01,2022,1,sábado,6,True,PB,Nordeste,5,0,0,0,5,0.0
2022-01-01,2022,1,sábado,6,True,PE,Nordeste,9,4,0,5,12,0.444444
2022-01-01,2022,1,sábado,6,True,PI,Nordeste,3,0,0,0,2,0.0
2022-01-01,2022,1,sábado,6,True,PR,Sul,10,3,1,2,12,0.3
2022-01-01,2022,1,sábado,6,True,RJ,Sudeste,13,4,2,2,14,0.307692
2022-01-01,2022,1,sábado,6,True,RN,Nordeste,2,0,0,0,3,0.0
2022-01-01,2022,1,sábado,6,True,RO,Norte,7,1,0,1,10,0.142857
2022-01-01,2022,1,sábado,6,True,RR,Norte,1,0,0,0,0,0.0
2022-01-01,2022,1,sábado,6,True,RS,Sul,7,1,0,1,7,0.142857
2022-01-01,2022,1,sábado,6,True,SC,Sul,26,8,2,11,36,0.307692
2022-01-01,2022,1,sábado,6,True,SE,Nordeste,1,1,0,2,2,1.0
2022-01-01,2022,1,sábado,6,True,SP,Sudeste,12,2,0,2,12,0.166667
