ano,mes_numero,mes_nome,uf,regiao,total_acidentes,total_graves_fatais,total_mortos,total_feridos_graves,total_vitimas,taxa_gravidade
2022,1,Janeiro,AC,Norte,19,6,0,8,30,0.315789
2022,1,Janeiro,AL,Nordeste,46,21,5,27,76,0.456522
2022,1,Janeiro,AM,Norte,6,0,0,0,7,0.0
2022,1,Janeiro,AP,Norte,14,1,0,3,25,0.071429
2022,1,Janeiro,BA,Nordeste,272,104,46,91,371,0.382353
2022,1,Janeiro,CE,Nordeste,114,47,17,41,162,0.412281
2022,1,Janeiro,DF,Centro-Oeste,51,10,5,9,60,0.196078
2022,1,Janeiro,ES,Sudeste,187,71,9,82,248,0.379679
2022,1,Janeiro,GO,Centro-Oeste,263,67,38,64,372,0.254753
2022,1,Janeiro,MA,Nordeste,80,34,11,40,125,0.425
2022,1,Janeiro,MG,Sudeste,710,201,55,235,1034,0.283099
2022,1,Janeiro,MS,Centro-Oeste,145,41,19,33,158,0.282759
2022,1,Janeiro,MT,Centro-Oeste,166,52,21,38,207,0.313253
2022,1,Janeiro,PA,Norte,54,21,14,19,65,0.388889
2022,1,Janeiro,PB,Nordeste,128,46,15,38,158,0.359375
2022,1,Janeiro,PE,Nordeste,210,92,32,91,262,0.438095
2022,1,Janeiro,PI,Nordeste,86,37,12,37,127,0.430233
2022,1,Janeiro,PR,Sul,553,164,57,155,659,0.296564
2022,1,Janeiro,RJ,Sudeste,320,74,16,78,374,0.23125
2022,1,Janeiro,RN,Nordeste,83,23,9,18,105,0.277108
2022,1,Janeiro,RO,Norte,104,21,2,22,93,0.201923
2022,1,Janeiro,RR,Norte,23,8,3,8,27,0.347826
2022,1,Janeiro,RS,Sul,366,80,24,75,440,0.218579
2022,1,Janeiro,SC,Sul,636,152,22,173,811,0.238994
2022,1,Janeiro,SE,Nordeste,44,17,5,18,62,0.386364
2022,1,Janeiro,SP,Sudeste,330,59,14,51,389,0.178788
2022,1,Janeiro,TO,Norte,39,7,2,7,39,0.179487
2022,2,Fevereiro,AC,Norte,27,5,0,8,31,0.185185
2022,2,Fevereiro,AL,Nordeste,40,19,4,21,59,0.475
2022,2,Fevereiro,AM,Norte,4,2,0,2,7,0.5
2022,2,Fevereiro,AP,Norte,13,5,3,5,22,0.384615
2022,2,Fevereiro,BA,Nordeste,249,80,35,62,300,0.321285
2022,2,Fevereiro,CE,Nordeste,128,42,8,40,167,0.328125
2022,2,Fevereiro,DF,Centro-Oeste,57,6,2,4,60,0.105263
2022,2,Fevereiro,ES,Sudeste,178,54,10,58,224,0.303371
2022,2,Fevereiro,GO,Centro-Oeste,234,64,23,61,283,0.273504
2022,2,Fevereiro,MA,Nordeste,68,24,15,15,68,0.352941
2022,2,Fevereiro,MG,Sudeste,588,176,58,167,731,0.29932
2022,2,Fevereiro,MS,Centro-Oeste,106,33,10,41,131,0.311321
2022,2,Fevereiro,MT,Centro-Oeste,170,56,20,56,217,0.329412
2022,2,Fevereiro,PA,Norte,74,32,9,34,92,0.432432
2022,2,Fevereiro,PB,Nordeste,108,32,6,33,133,0.296296
2022,2,Fevereiro,PE,Nordeste,187,68,26,53,219,0.363636
2022,2,Fevereiro,PI,Nordeste,77,34,10,31,96,0.441558
2022,2,Fevereiro,PR,Sul,549,143,36,139,613,0.260474
2022,2,Fevereiro,RJ,Sudeste,327,69,24,76,380,0.211009
2022,2,Fevereiro,RN,Nordeste,97,32,4,34,103,0.329897
2022,2,Fevereiro,RO,Norte,139,28,5,32,135,0.201439
2022,2,Fevereiro,RR,Norte,20,5,1,4,22,0.25
2022,2,Fevereiro,RS,Sul,401,99,33,93,488,0.246883
2022,2,Fevereiro,SC,Sul,625,162,27,165,744,0.2592
2022,2,Fevereiro,SE,Nordeste,38,16,4,13,52,0.421053
2022,2,Fevereiro,SP,Sudeste,310,74,19,66,334,0.23871
2022,2,Fevereiro,TO,Norte,55,19,5,22,91,0.345455
2022,3,Março,AC,Norte,19,4,2,3,29,0.210526
2022,3,Março,AL,Nordeste,51,12,6,8,53,0.235294
2022,3,Março,AM,Norte,8,2,1,1,10,0.25
2022,3,Março,AP,Norte,18,6,4,7,21,0.333333
2022,3,Março,BA,Nordeste,269,102,63,108,445,0.379182
2022,3,Março,CE,Nordeste,113,42,17,36,137,0.371681
2022,3,Março,DF,Centro-Oeste,76,20,3,18,68,0.263158
2022,3,Março,ES,Sudeste,204,69,12,88,300,0.338235
2022,3,Março,GO,Centro-Oeste,215,66,16,66,258,0.306977
2022,3,Março,MA,Nordeste,78,38,15,33,92,0.487179
2022,3,Março,MG,Sudeste,628,189,51,202,793,0.300955
2022,3,Março,MS,Centro-Oeste,152,42,17,42,168,0.276316
2022,3,Março,MT,Centro-Oeste,173,32,11,31,185,0.184971
2022,3,Março,PA,Norte,56,23,9,19,82,0.410714
2022,3,Março,PB,Nordeste,138,33,9,34,151,0.23913
2022,3,Março,PE,Nordeste,217,68,19,63,238,0.313364
2022,3,Março,PI,Nordeste,101,34,9,31,100,0.336634
2022,3,Março,PR,Sul,586,142,38,143,696,0.242321
2022,3,Março,RJ,Sudeste,390,97,28,89,471,0.248718
2022,3,Março,RN,Nordeste,91,29,8,33,115,0.318681
2022,3,Março,RO,Norte,111,27,5,22,101,0.243243
2022,3,Março,RR,Norte,19,5,2,3,21,0.263158
2022,3,Março,RS,Sul,394,88,32,102,496,0.22335
2022,3,Março,SC,Sul,623,161,31,157,736,0.258427
2022,3,Março,SE,Nordeste,48,11,3,18,60,0.229167
2022,3,Março,SP,Sudeste,355,64,19,63,393,0.180282
2022,3,Março,TO,Norte,42,14,9,9,42,0.333333
2022,4,Abril,AC,Norte,13,4,0,5,17,0.307692
2022,4,Abril,AL,Nordeste,45,10,1,11,46,0.222222
2022,4,Abril,AM,Norte,7,2,3,1,8,0.285714
2022,4,Abril,AP,Norte,14,4,1,6,25,0.285714
2022,4,Abril,BA,Nordeste,284,95,39,89,380,0.334507
2022,4,Abril,CE,Nordeste,118,36,7,32,132,0.305085
2022,4,Abril,DF,Centro-Oeste,81,14,2,15,79,0.17284
2022,4,Abril,ES,Sudeste,211,75,9,78,276,0.35545
2022,4,Abril,GO,Centro-Oeste,255,83,22,88,310,0.32549
2022,4,Abril,MA,Nordeste,86,35,12,29,108,0.406977
2022,4,Abril,MG,Sudeste,652,206,52,199,804,0.315951
2022,4,Abril,MS,Centro-Oeste,137,50,16,52,164,0.364964
2022,4,Abril,MT,Centro-Oeste,175,52,20,41,212,0.297143
2022,4,Abril,PA,Norte,62,22,8,21,98,0.354839
2022,4,Abril,PB,Nordeste,85,34,7,36,98,0.4
2022,4,Abril,PE,Nordeste,221,75,15,68,244,0.339367
2022,4,Abril,PI,Nordeste,87,40,11,42,148,0.45977
2022,4,Abril,PR,Sul,647,173,43,176,706,0.267388
2022,4,Abril,RJ,Sudeste,360,92,19,103,440,0.255556
2022,4,Abril,RN,Nordeste,100,27,7,25,110,0.27
2022,4,Abril,RO,Norte,113,35,7,36,122,0.309735
2022,4,Abril,RR,Norte,29,12,3,11,33,0.413793
2022,4,Abril,RS,Sul,455,97,25,99,514,0.213187
2022,4,Abril,SC,Sul,636,157,30,177,788,0.246855
2022,4,Abril,SE,Nordeste,42,15,2,19,54,0.357143
2022,4,Abril,SP,Sudeste,385,73,19,59,405,0.18961
2022,4,Abril,TO,Norte,39,19,13,8,40,0.487179
2022,5,Maio,AC,Norte,9,3,1,2,11,0.333333
2022,5,Maio,AL,Nordeste,48,10,2,13,53,0.208333
2022,5,Maio,AM,Norte,15,3,1,2,7,0.2
2022,5,Maio,AP,Norte,12,3,1,2,12,0.25
2022,5,Maio,BA,Nordeste,266,92,39,76,315,0.345865
2022,5,Maio,CE,Nordeste,114,39,14,39,155,0.342105
2022,5,Maio,DF,Centro-Oeste,73,13,3,10,81,0.178082
2022,5,Maio,ES,Sudeste,207,61,24,62,283,0.294686
2022,5,Maio,GO,Centro-Oeste,263,83,17,96,337,0.315589
2022,5,Maio,MA,Nordeste,83,29,9,33,98,0.349398
2022,5,Maio,MG,Sudeste,688,219,76,227,921,0.318314
2022,5,Maio,MS,Centro-Oeste,129,43,11,43,156,0.333333
2022,5,Maio,MT,Centro-Oeste,175,64,39,56,298,0.365714
2022,5,Maio,PA,Norte,64,31,22,24,96,0.484375
2022,5,Maio,PB,Nordeste,129,41,11,39,167,0.317829
2022,5,Maio,PE,Nordeste,218,77,30,79,277,0.353211
2022,5,Maio,PI,Nordeste,89,39,10,44,118,0.438202
2022,5,Maio,PR,Sul,630,166,44,165,704,0.263492
2022,5,Maio,RJ,Sudeste,376,83,17,82,413,0.220745
2022,5,Maio,RN,Nordeste,108,31,12,25,130,0.287037
2022,5,Maio,RO,Norte,130,40,12,39,150,0.307692
2022,5,Maio,RR,Norte,28,9,4,7,43,0.321429
2022,5,Maio,RS,Sul,431,82,20,85,445,0.190255
2022,5,Maio,SC,Sul,655,160,39,153,677,0.244275
2022,5,Maio,SE,Nordeste,49,20,4,23,67,0.408163
2022,5,Maio,SP,Sudeste,374,62,25,56,406,0.165775
2022,5,Maio,TO,Norte,36,11,4,11,42,0.305556
2022,6,Junho,AC,Norte,22,12,1,14,29,0.545455
2022,6,Junho,AL,Nordeste,44,14,5,10,46,0.318182
2022,6,Junho,AM,Norte,10,5,2,5,12,0.5
2022,6,Junho,AP,Norte,8,3,0,3,9,0.375
2022,6,Junho,BA,Nordeste,288,112,48,96,406,0.388889
2022,6,Junho,CE,Nordeste,123,43,11,56,156,0.349593
2022,6,Junho,DF,Centro-Oeste,80,14,1,15,83,0.175
2022,6,Junho,ES,Sudeste,186,66,15,74,242,0.354839
2022,6,Junho,GO,Centro-Oeste,225,74,20,74,253,0.328889
2022,6,Junho,MA,Nordeste,87,33,18,35,115,0.37931
2022,6,Junho,MG,Sudeste,632,198,55,176,763,0.313291
2022,6,Junho,MS,Centro-Oeste,125,34,9,29,130,0.272
2022,6,Junho,MT,Centro-Oeste,183,48,22,37,195,0.262295
2022,6,Junho,PA,Norte,60,25,18,15,69,0.416667
2022,6,Junho,PB,Nordeste,113,34,5,35,121,0.300885
2022,6,Junho,PE,Nordeste,233,74,26,71,254,0.317597
2022,6,Junho,PI,Nordeste,80,25,9,19,84,0.3125
2022,6,Junho,PR,Sul,625,182,45,192,709,0.2912
