ano,uf,regiao,total_acidentes,total_graves_fatais,total_mortos,total_feridos_graves,total_vitimas,taxa_gravidade
2022,AC,Norte,224,77,18,87,309,0.34375
2022,AL,Nordeste,595,210,54,211,717,0.352941
2022,AM,Norte,114,33,19,30,152,0.289474
2022,AP,Norte,180,63,20,69,240,0.35
2022,BA,Nordeste,3449,1217,529,1106,4613,0.352856
2022,CE,Nordeste,1373,475,148,445,1717,0.345958
2022,DF,Centro-Oeste,922,177,44,164,985,0.191974
2022,ES,Sudeste,2280,760,154,833,3007,0.333333
2022,GO,Centro-Oeste,3112,881,291,884,3853,0.283098
2022,MA,Nordeste,1084,466,211,440,1441,0.429889
2022,MG,Sudeste,8295,2427,701,2530,11067,0.292586
2022,MS,Centro-Oeste,1639,518,167,500,1910,0.316046
2022,MT,Centro-Oeste,2179,641,263,590,2710,0.294172
2022,PA,Norte,834,375,183,348,1179,0.44964
2022,PB,Nordeste,1476,488,129,474,1776,0.330623
2022,PE,Nordeste,2749,973,305,916,3323,0.353947
2022,PI,Nordeste,1115,467,137,438,1404,0.418834
2022,PR,Sul,7393,1980,571,1951,8472,0.267821
2022,RJ,Sudeste,4708,1030,258,1008,5542,0.218777
2022,RN,Nordeste,1288,392,94,397,1577,0.304348
2022,RO,Norte,1380,365,86,354,1522,0.264493
2022,RR,Norte,229,78,24,72,292,0.340611
2022,RS,Sul,4931,1077,334,1123,5681,0.218414
2022,SC,Sul,7593,1983,350,2052,8792,0.261162
2022,SE,Nordeste,511,197,47,219,639,0.385519
2022,SP,Sudeste,4385,848,223,741,4817,0.193387
2022,TO,Norte,568,211,81,191,769,0.371479
2023,AC,Norte,225,68,24,65,297,0.302222
2023,AL,Nordeste,620,236,64,239,758,0.380645
2023,AM,Norte,105,38,11,39,139,0.361905
2023,AP,Norte,144,46,12,41,204,0.319444
2023,BA,Nordeste,3755,1305,564,1241,5254,0.347537
2023,CE,Nordeste,1363,486,137,471,1742,0.356566
2023,DF,Centro-Oeste,977,210,57,202,1125,0.214944
2023,ES,Sudeste,2241,743,163,776,2868,0.331548
2023,GO,Centro-Oeste,3136,895,290,870,3889,0.285395
2023,MA,Nordeste,1163,553,251,495,1531,0.475494
2023,MG,Sudeste,9007,2605,726,2786,12512,0.289219
2023,MS,Centro-Oeste,1726,536,184,537,2105,0.310545
2023,MT,Centro-Oeste,2317,676,271,614,2775,0.291757
2023,PA,Norte,899,422,207,354,1184,0.46941
2023,PB,Nordeste,1564,534,132,527,1939,0.341432
2023,PE,Nordeste,3001,1037,278,1044,3768,0.345551
2023,PI,Nordeste,1273,533,149,484,1543,0.418696
2023,PR,Sul,7110,1952,561,1937,8473,0.274543
2023,RJ,Sudeste,5575,1132,317,1045,6759,0.203049
2023,RN,Nordeste,1367,425,99,432,1737,0.3109
2023,RO,Norte,1400,416,101,431,1666,0.297143
2023,RR,Norte,144,57,27,51,221,0.395833
2023,RS,Sul,4936,1090,296,1105,5717,0.220827
2023,SC,Sul,7799,1892,365,1929,8973,0.242595
2023,SE,Nordeste,537,167,38,171,660,0.310987
2023,SP,Sudeste,4754,907,233,819,5440,0.190787
2023,TO,Norte,628,251,70,253,811,0.399682
2024,AC,Norte,287,89,20,89,377,0.310105
2024,AL,Nordeste,712,289,97,274,900,0.405899
2024,AM,Norte,169,56,26,50,279,0.331361
2024,AP,Norte,159,48,11,52,187,0.301887
2024,BA,Nordeste,4151,1487,619,1509,5971,0.358227
2024,CE,Nordeste,1500,586,185,530,1920,0.390667
2024,DF,Centro-Oeste,1056,188,28,195,1171,0.17803
2024,ES,Sudeste,2395,797,176,815,3165,0.332777
2024,GO,Centro-Oeste,3305,944,297,911,3892,0.285628
2024,MA,Nordeste,1138,571,280,484,1484,0.501757
2024,MG,Sudeste,9296,2684,794,2763,12550,0.288726
2024,MS,Centro-Oeste,1803,543,182,547,2122,0.301165
2024,MT,Centro-Oeste,2554,710,244,683,2961,0.277995
2024,PA,Norte,970,443,216,394,1255,0.456701
2024,PB,Nordeste,1920,619,134,623,2335,0.322396
2024,PE,Nordeste,3230,1152,312,1146,3893,0.356656
2024,PI,Nordeste,1520,625,171,617,1833,0.411184
2024,PR,Sul,7576,1964,607,1944,9063,0.25924
2024,RJ,Sudeste,6389,1323,333,1279,7881,0.207075
2024,RN,Nordeste,1606,497,118,490,2024,0.309465
2024,RO,Norte,1483,437,111,439,1847,0.294673
2024,RR,Norte,135,62,29,68,276,0.459259
2024,RS,Sul,5206,1152,346,1138,6076,0.221283
2024,SC,Sul,8381,1977,415,2017,9950,0.235891
2024,SE,Nordeste,597,218,59,198,734,0.365159
2024,SP,Sudeste,4883,913,226,832,5559,0.186975
2024,TO,Norte,735,251,124,257,981,0.341497
